fen,my_move,Your_Move_Eval,Best_Move_Eval,Eval_Difference,New_Move_Quality
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,dxe5,-1.32,-1.40,0.08,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,exd4,0.14,0.13,0.01,Best/Excellent
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,exd4,0.00,-0.07,0.07,Best/Excellent
rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5,-0.72,-0.69,0.03,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,exd4,0.53,0.33,0.20,Good
r1bqk2r/pppp1ppp/2N2n2/2b5/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6,bxc6,0.34,0.34,0.00,Best/Excellent
r1bqkb1r/pp3ppp/2P2n2/nB2p1N1/8/8/PPPP1PPP/RNBQK2R b KQkq - 0 7,bxc6,0.21,0.15,0.06,Best/Excellent
rnbqkbnr/p3pppp/2p5/1p6/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 5,axb5,-1.92,-1.78,0.14,Best/Excellent
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,exd5,0.21,0.18,0.03,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,exd4,0.15,0.15,0.00,Best/Excellent
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,-0.28,-0.34,0.06,Best/Excellent
r1bqkb1r/ppp2ppp/2n5/3pp3/4N3/3B1N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4,-0.15,-0.11,0.04,Best/Excellent
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N4P/PP2BPP1/R1BQK1NR w KQ - 0 7,dxe5,-0.08,-0.67,0.59,Inaccuracy
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,dxe4,-0.16,-0.11,0.05,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,exd4,0.11,-0.03,0.14,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,dxe4,-0.53,-0.49,0.04,Best/Excellent
rnbqk2r/ppp2ppp/4pn2/3p2B1/2PP4/2b2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,bxc3,-0.48,-0.48,0.00,Best/Excellent
rnbqkbnr/pp2pppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,-0.49,-0.54,0.05,Best/Excellent
rnbqkb1r/ppp2ppp/8/3pP3/4N3/8/PPPP2PP/R1BQKBNR b KQkq - 0 5,dxe4,-0.57,-0.55,0.02,Best/Excellent
rnbqk2r/ppp2ppp/4pb2/3P4/3P4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 6,exd5,-0.13,-0.17,0.04,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5,-0.82,-0.85,0.03,Best/Excellent
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,exd5,0.41,0.35,0.06,Best/Excellent
rnb1kbnr/ppp2ppp/8/8/2Bq4/4P3/PP3PPP/RNB1K1NR w KQkq - 0 6,exd4,0.06,0.11,0.05,Best/Excellent
rnbqk2r/pp3ppp/4pn2/2bP2B1/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 7,exd5,0.78,0.25,0.53,Inaccuracy
r1bqkb1r/ppp2ppp/2n5/1B1pp3/4N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4,-2.11,-2.32,0.21,Good
r1bqkb1r/pp3ppp/2n1pn2/2pP4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 6,exd5,0.16,0.24,0.08,Best/Excellent
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,exd4,-0.25,-0.23,0.02,Best/Excellent
rnbqk1nr/ppp2ppp/4p3/3p4/2PP4/2b2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,bxc3,-0.84,-0.89,0.05,Best/Excellent
rnbqkbnr/ppp2ppp/8/3p4/3PP3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,dxe4,-0.95,-0.85,0.10,Best/Excellent
rn1qkb1r/ppp2ppp/4b3/3pP3/4N3/5Q2/PPPP2PP/R1B1KBNR b KQkq - 0 6,dxe4,0.18,0.19,0.01,Best/Excellent
rn1qkbnr/p1p1pppp/b7/1p6/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 1 5,axb5,-1.97,-2.02,0.05,Best/Excellent
rnbqk2r/pppp1ppp/4pn2/6B1/2PP4/2b5/PP2PPPP/R2QKBNR w KQkq - 0 5,bxc3,-0.27,-0.26,0.01,Best/Excellent
